"Quality","Country","Code","Year","Gini","Quntile 1","Quntile 2","Quntile 3","Quntile 4","Inc","Pers","Gross","Cov1","Cov2","Source1","Source2","Q","Other"
"nn","Jordan","JOR",1980,34.3,,,,,"E","H",,"Urban",,"Haddad 1990","FES","nn",
"nn","Jordan","JOR",1981,32.31,,,,,"I","H",,"Urban","IR","Haddad 1990",,"nn",
"nn","Jordan","JOR",1982,29.05,,,,,"I","H",,"Urban","IR","Haddad 1990","FES","nn",
"nn","Jordan","JOR",1982,32.86,,,,,"I","H",,"Urban","IR","Haddad 1990","FES","nn",
"nn","Jordan","JOR",1986,31.7,,,,,"E","P",,"Rural",,"Sha'ban 1990","FES","nn",
"nn","Jordan","JOR",1986,34.3,,,,,"E","P",,"Urban",,"Sha'ban 1990","FES","nn",
"accept","Kazakhstan","KAZ",1993,32.67,0.0749,0.1981,0.3672,0.5961,"I","P",,"Nat'l",,"WDR 1996",,"good",
"accept","Kenya","KEN",1992,54.39,0.0339,0.1011,0.2084,0.3816,"E","P","N","Nat'l",,"Chen et al. 1995","SDA Survey","good",
"nn","Kenya","KEN",1969,47.9,,,,,"I","H",,"Urban",,"Jain 1975",,"nn","ARL"
"ps","Kenya","KEN",1961,48.8,,,,,"I","P",,"Nat'l",,"Cromwell 1977","Adelman and Morris 1972","ps",
"ps","Kenya","KEN",1976,68,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"ps",
"ps","Kenya","KEN",1976,52,,,,,"I","H",,"Nat'l",,"ILO 1982",,"ps",
"ps","Kenya","KEN",1977,59,,,,,"I","H",,"Nat'l",,"van Ginneken and Park 1984",,"ps",
"ps","Kenya","KEN",1981,57.3,,,,,"I","H","G","Nat'l",,"Milanovic 1994",,"ps",
"tax","Kenya","KEN",1914,50,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1921,57,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1927,58,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1936,63,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1946,64,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1950,70,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1955,63,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1960,68,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1964,63,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1967,66,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1969,68,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1971,70,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"tax","Kenya","KEN",1974,69,,,,,"I","P",,"Nat'l","Tax","Bigsten 1986",,"tax",
"wg","Kenya","KEN",1969,63.68,,,,,"I","P",,"Nat'l","IR","Jain 1975",,"wg",
"wg","Kenya","KEN",1969,60.4,,,,,"I","P",,"Nat'l","EAP","Lecaillon et al. 1984",,"wg",
"cs","Korea","KOR",1966,26,0.09,0.23,0.41,0.64,"I","P","G","Nat'l",,"Paukert 1973",,"cs","PT"
"accept","Korea, R.","KOR",1953,34,,,,,"I","H",,"Nat'l",,"Martellaro 1989",,"good",
"accept","Korea, R.","KOR",1961,32,,,,,"I","H",,"Nat'l",,"Martellaro 1989",,"good",
"accept","Korea, R.","KOR",1964,33,,,,,"I","H",,"Nat'l",,"Martellaro 1989",,"good",
"accept","Korea, R.","KOR",1965,34.34,0.058,0.1934,0.3487,0.5819,"I","H","G","Nat'l",,"Choo 1985","KFEIS and KCEIS","good","ARH"
"accept","Korea, R.","KOR",1966,34.16,0.065,0.184,0.354,0.594,"I","H","G","Nat'l",,"Jain 1975",,"good",
"accept","Korea, R.","KOR",1968,30.45,0.086,0.214,0.383,0.608,"I","H","G","Nat'l",,"Jain 1975",,"good",
"accept","Korea, R.","KOR",1969,29.82,0.084,0.214,0.387,0.618,"I","H","G","Nat'l",,"Jain 1975",,"good",
"accept","Korea, R.","KOR",1970,33.3,0.073,0.1963,0.3597,0.5838,"I","H","G","Nat'l",,"Choo 1985","KFEIS and KCEIS","good","ARH"
"accept","Korea, R.","KOR",1971,36.01,0.072,0.187,0.345,0.566,"I","H","G","Nat'l",,"Jain 1975",,"good",
"accept","Korea, R.","KOR",1976,39.1,0.057,0.1685,0.3226,0.5466,"I","H","G","Nat'l",,"Choo 1985","KFEIS and KCEIS","good",
"accept","Korea, R.","KOR",1980,38.63,0.0509,0.161,0.32,0.546,"I","H","G","Nat'l",,"Korea, NBS",,"good",
"accept","Korea, R.","KOR",1982,35.7,0.0696,0.188,0.3504,0.5701,"I","H","G","Nat'l",,"Choo 1985","KFEIS and KCEIS","good",
"accept","Korea, R.","KOR",1985,34.54,0.068,0.205,0.365,0.581,"I","H","G","Nat'l",,"Korea, NBS",,"good",
"accept","Korea, R.","KOR",1988,33.64,0.0739,0.1968,0.3595,0.5776,"I","H","G","Nat'l",,"Korea, NBS",,"good",
"cs","Korea, R.","KOR",1966,34.16,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Korea, R.","KOR",1966,26.5,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Korea, R.","KOR",1970,38.36,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Korea, R.","KOR",1970,40.65,,,,,"I","P",,"Nat'l",,"Jain 1975",,"cs",
"cs","Korea, R.","KOR",1970,37.19,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Korea, R.","KOR",1970,35.1,,,,,"I","H",,"Nat'l",,"Lecaillon et al. 1984",,"cs",
"cs","Korea, R.","KOR",1985,32,,,,,"I","H",,"Nat'l",,"Martellaro 1989",,"cs",
"nn","Korea, R.","KOR",1965,28.52,,,,,"I","H","G","Rural","Agric.","Choo 1985","KFEIS","nn",
"nn","Korea, R.","KOR",1965,41.67,,,,,"I","H","G","Urban","NAG","Choo 1985",,"nn",
"nn","Korea, R.","KOR",1966,30.56,,,,,"I","H",,"Rural",,"Jain 1975",,"nn",
"nn","Korea, R.","KOR",1966,32.29,,,,,"I","H",,"Urban",,"Jain 1975",,"nn",
"nn","Korea, R.","KOR",1970,29.45,,,,,"I","H","G","Rural","Agric.","Choo 1985","KFEIS","wg",
"nn","Korea, R.","KOR",1970,34.55,,,,,"I","H","G","Urban","NAG","Choo 1985",,"wg",
"nn","Korea, R.","KOR",1970,31.43,,,,,"I","H",,"Rural",,"Jain 1975",,"cs",
"nn","Korea, R.","KOR",1971,31,,,,,"I","H",,"Rural",,"Jain 1975",,"nn",
"nn","Korea, R.","KOR",1971,33.81,,,,,"I","H",,"Urban",,"Jain 1975",,"nn",
"nn","Korea, R.","KOR",1976,32.73,,,,,"I","H","G","Rural","Agric.","Choo 1985","KFEIS","nn",
"nn","Korea, R.","KOR",1976,41.18,,,,,"I","H","G","Urban","NAG","Choo 1985",,"nn",
"nn","Korea, R.","KOR",1980,35.55,,,,,"I","H","G","Urban",,"Korea, NBS",,"nn",
"nn","Korea, R.","KOR",1980,40.53,,,,,"I","H","G","Urban",,"Korea, NBS",,"nn",
"nn","Korea, R.","KOR",1982,30.61,,,,,"I","H","G","Rural","Agric.","Choo 1985","KFEIS","wg",
"nn","Korea, R.","KOR",1982,37.05,,,,,"I","H","G","Urban","NAG","Choo 1985",,"nn",
"nn","Korea, R.","KOR",1984,35.37,,,,,"I","P","G","Nat'l","IR","Lee 1991","KOWS-MOL","nn",
"nn","Korea, R.","KOR",1985,29.69,,,,,"I","H","G","Rural",,"Korea, NBS",,"nn",
"nn","Korea, R.","KOR",1985,36.94,,,,,"I","H","G","Urban",,"Korea, NBS",,"nn",
"nn","Korea, R.","KOR",1988,28.95,,,,,"I","H","G","Rural",,"Korea, NBS",,"nn",
"nn","Korea, R.","KOR",1988,34.96,,,,,"I","H","G","Urban",,"Korea, NBS",,"nn",
"wg","Korea, R.","KOR",1965,38.38,,,,,"I","H","G","Nat'l","EMPLOYERS","Choo 1985",,"wg",
"wg","Korea, R.","KOR",1965,39.93,,,,,"I","H","G","Nat'l","IR","Choo 1985",,"wg",
"wg","Korea, R.","KOR",1970,35.28,,,,,"I","H","G","Nat'l","EMPLOYERS","Choo 1985",,"wg",
"wg","Korea, R.","KOR",1970,30.43,,,,,"I","H","G","Nat'l","IR","Choo 1985",,"wg",
"wg","Korea, R.","KOR",1970,40,,,,,"I","P",,"Nat'l","EAP","Lecaillon et al. 1984",,"wg",
"wg","Korea, R.","KOR",1970,39.5,,,,,"I","P",,"Nat'l","IR","Lecaillon et al. 1984",,"wg",
"wg","Korea, R.","KOR",1972,40.22,,,,,"I","P","G","Nat'l","IR","Korea, NBS",,"wg",
"wg","Korea, R.","KOR",1976,44.9,,,,,"I","H","G","Nat'l","EMPLOYERS","Choo 1985",,"wg",
"wg","Korea, R.","KOR",1976,35.53,,,,,"I","H","G","Nat'l","IR","Choo 1985",,"wg",
"wg","Korea, R.","KOR",1976,39.85,,,,,"I","P","G","Nat'l","IR","Mizoguchi 1985","KOWS-MOL","wg",
"wg","Korea, R.","KOR",1980,36.73,,,,,"I","P","G","Nat'l","IR","Mizoguchi 1985","KOWS-MOL","wg",
"wg","Korea, R.","KOR",1982,44.46,,,,,"I","H","G","Nat'l","EMPLOYERS","Choo 1985",,"wg",
"wg","Korea, R.","KOR",1982,30.9,,,,,"I","H","G","Nat'l","IR","Choo 1985",,"wg",
"wg","Korea, R.","KOR",1988,31.38,,,,,"I","P","G","Nat'l","IR","Lee 1991","KOWS-MOL","wg",
"accept","Kyrgyz Rep.","KYR",1993,35.32,0.067,0.182,0.3462,0.5774,"I","P",,"Nat'l",,"WDR 1996",,"good",
"accept","Laos","LAO",1992,30.4,0.0955,0.2247,0.3873,0.5976,"E","P",,"Nat'l",,"WDR 1996",,"good",
"accept","Latvia","LAT",1993,26.98,0.096,0.232,0.4068,0.6327,"I","P",,"Nat'l",,"WDR 1996",,"good",
"ps","Lebanon","LBN",1960,55,0.03,0.072,0.23,0.39,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"accept","Lesotho","LSO",1987,56.02,0.0287,0.0927,0.2052,0.4001,"E","P","N","Nat'l",,"Chen et al. 1995","HBS","good",
"cs","Lesotho","LSO",1987,60.9,,,,,"I","H","N","Nat'l",,"Gustafsson and Makonnen 1994",,"cs",
"cs","Lesotho","LSO",1987,63.1,,,,,"I","P","N","Nat'l",,"Gustafsson and Makonnen 1994",,"cs",
"ps","Liberia","LBR",1974,43,,,,,"I","H",,"Nat'l",,"ILO 1982",,"ps",
"accept","Lithuania","LIT",1993,33.64,0.0809,0.2043,0.3665,0.5792,"I","P",,"Nat'l",,"WDR 1996",,"good",
"accept","Luxembourg","LUX",1985,27.1277,0.0875,0.2267,0.4072,0.64,"I","H","N","Nat'l",,"LIS Data base",,"good",
"cs","Luxembourg","LUX",1985,23.8093,0.1016,0.2483,0.4304,0.6598,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"accept","Madagascar","MDG",1993,43.44,0.0585,0.1565,0.2978,0.5016,"E","P","N","Nat'l",,"Chen et al. 1995","HBS","good",
"nn","Madagascar","MDG",1962,39.1,,,,,"I","H",,"Nat'l",,"Pryor 1990",,"nn",
"nn","Madagascar","MDG",1980,48.9,,,,,"I","H",,"Nat'l",,"Milanovic 1994",,"nn",
"ps","Madagascar","MDG",1960,46,,,,,"I","H",,"Nat'l",,"Cromwell 1977",,"ps",
"ps","Madagascar","MDG",1960,56.18,,,,,"I","P",,"Nat'l",,"Jain 1975",,"ps",
"ps","Madagascar","MDG",1960,53,0.039,0.117,0.23,0.41,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"accept","Malawi","MWI",1993,62,,,,,"E","P","N","Nat'l",,"World Bank, Africa Department",,,
"nn","Malawi","MWI",1977,51.8,,,,,"I","H",,"Nat'l",,"Bourguignon and Morrisson 1989",,"nn",
"nn","Malawi","MWI",1983,56.7,,,,,"I","H",,"Nat'l",,"Bourguignon and Morrisson 1989",,"nn",
"nn","Malawi","MWI",1985,59.9,,,,,"I","H",,"Nat'l",,"Pryor 1990",,"nn",
"ps","Malawi","MWI",1969,46.96,,,,,"I","H",,"Nat'l",,"Jain 1975",,"ps",
"ps","Malawi","MWI",1969,45.2,,,,,"I","P",,"Nat'l","IR","Lecaillon et al. 1984",,"ps",
"accept","Malaysia","MYS",1970,50,0.04,0.117,0.24,0.438,"I","H","G","Nat'l",,"Bruton et al. 1992","PES","good",
"accept","Malaysia","MYS",1973,51.8,,,,,"I","H","G","Nat'l",,"Perumal 1989","HES","good",
"accept","Malaysia","MYS",1976,53,0.033,0.111,0.229,0.427,"I","H","G","Nat'l",,"Bruton et al. 1992","HES","good",
"accept","Malaysia","MYS",1979,51,0.037,0.119,0.244,0.442,"I","H","G","Nat'l",,"Bruton et al. 1992","MFLS","good",
"accept","Malaysia","MYS",1984,48,0.042,0.128,0.26,0.468,"I","H","G","Nat'l",,"Bruton et al. 1992","HES","good",
"accept","Malaysia","MYS",1989,48.35,0.0458,0.1291,0.259,0.4627,"I","P","G","Nat'l",,"Chen et al. 1995","HIES","good",
"cs","Malaysia","MYS",1958,36,0.065,0.177,0.334,0.56,"I","P","G","Nat'l",,"Paukert 1973",,"cs","PT"
"cs","Malaysia","MYS",1970,51.94,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Malaysia","MYS",1970,50.45,,,,,"I","P",,"Nat'l",,"Jain 1975","PES 1970","cs",
"cs","Malaysia","MYS",1970,51.79,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Malaysia","MYS",1970,54.07,,,,,"I","P",,"Nat'l",,"Jain 1975",,"cs",
"cs","Malaysia","MYS",1970,52,,,,,"I","H",,"Nat'l",,"Lecaillon et al. 1984",,"cs",
"cs","Malaysia","MYS",1970,51,,,,,"I","H",,"Nat'l",,"Rao 1989",,"cs",
"cs","Malaysia","MYS",1984,50.52,,,,,"I","P",,"Nat'l",,"Chen et al. 1995",,"cs",
"nn","Malaysia","MYS",1958,42,,,,,"I","H",,"Nat'l",,"Fields 1989","Bruton  1982","nn","ARH"
"nn","Malaysia","MYS",1958,37.08,,,,,"I","H",,"Nat'l",,"Jain 1975",,"nn",
"nn","Malaysia","MYS",1958,34.84,,,,,"I","H",,"Rural",,"Jain 1975",,"nn",
"nn","Malaysia","MYS",1958,35.1,,,,,"I","H",,"Urban",,"Jain 1975",,"nn",
"nn","Malaysia","MYS",1958,43.56,,,,,"I","H",,"Nat'l",,"Jain 1975",,"nn",
"nn","Malaysia","MYS",1968,51.62,,,,,"I","H",,"Urban",,"Jain 1975",,"nn",
"nn","Malaysia","MYS",1968,55.45,,,,,"I","H",,"Nat'l",,"Jain 1975",,"nn",
"nn","Malaysia","MYS",1968,42.36,,,,,"I","H",,"Rural","Agric.","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1968,52.09,,,,,"I","H",,"Urban","NAG","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1968,50,,,,,"I","H",,"Nat'l",,"Rao 1989",,"nn",
"nn","Malaysia","MYS",1969,42.03,,,,,"I","H",,"Rural","Agric.","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1969,51.33,,,,,"I","H",,"Urban","NAG","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1970,46.43,,,,,"I","H",,"Rural",,"Jain 1975",,"nn",
"nn","Malaysia","MYS",1970,47.29,,,,,"I","P",,"Rural","IR","Jain 1975","PES 1970","wg",
"nn","Malaysia","MYS",1970,51.2,,,,,"I","P",,"Urban","IR","Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,52.05,,,,,"I","p",,"Urban","IR","Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,51.98,,,,,"I","H",,"Urban","IR","Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,52.05,,,,,"I","H",,"Urban","IR","Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,53.13,,,,,"I","P",,"Urban","IR","Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,49.43,,,,,"I","P",,"Urban","IR","Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,45.77,,,,,"I","P",,"Rural",,"Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,47.64,,,,,"I","H",,"Rural",,"Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,50.37,,,,,"I","P",,"Rural",,"Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,45.97,,,,,"I","P",,"Urban",,"Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,50.06,,,,,"I","P",,"Urban",,"Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,50.83,,,,,"I","H",,"Urban",,"Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,51.27,,,,,"I","P",,"Urban",,"Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,52.1,,,,,"I","P",,"Urban",,"Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,46.64,,,,,"I","H",,"Urban",,"Jain 1975","PES 1970","nn",
"nn","Malaysia","MYS",1970,42.58,,,,,"I","H",,"Rural","Agric.","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1970,50.34,,,,,"I","H",,"Urban","NAG","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1971,41.94,,,,,"I","H",,"Rural","Agric.","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1971,49.69,,,,,"I","H",,"Urban","NAG","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1972,43.41,,,,,"I","H",,"Rural","Agric.","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1972,49.22,,,,,"I","H",,"Urban","NAG","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1973,43.58,,,,,"I","H",,"Rural","Agric.","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1973,48.44,,,,,"I","H",,"Urban","NAG","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1974,43.19,,,,,"I","H",,"Rural","Agric.","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1974,48.85,,,,,"I","H",,"Urban","NAG","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1975,45.78,,,,,"I","H",,"Rural","Agric.","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1975,49.1,,,,,"I","H",,"Urban","NAG","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1976,47.58,,,,,"I","H",,"Rural","Agric.","Randolph 1990","MFLS","nn",
"nn","Malaysia","MYS",1976,49.65,,,,,"I","H",,"Urban","NAG","Randolph 1990","MFLS","nn",
"ps","Malaysia","MYS",1987,45.8,,,,,"I",,,"Nat'l",,"Shari and Zin 1990",,"ps",
"wg","Malaysia","MYS",1960,57.16,,,,,"I","H",,"Nat'l","IR","Jain 1975",,"wg",
"wg","Malaysia","MYS",1970,51.31,,,,,"I","P",,"Nat'l","IR","Jain 1975","PES 1970","wg",
"accept","Mali","MLI",1994,54,,,,,"E","P","N","Nat'l",,"World Bank, Africa Department",,,
"accept","Mauritania","MRT",1988,42.53,0.0353,0.1422,0.3043,0.5368,"E","P","N","Nat'l",,"Chen et al. 1995","Statistical Yearbook","good",
"accept","Mauritania","MRT",1995,37.8,,,,,"E","P","N","Nat'l",,"World Bank, Africa Department",,,
"accept","Mauritius","MUS",1980,45.7,0.0707,0.1647,0.362,0.6008,"I","H","G","Nat'l",,"UN 1985",,"good",
"accept","Mauritius","MUS",1986,39.63,0.059,0.172,0.321,0.543,"E","P","N","Nat'l",,"WB Mauritius 1995",,"good",
"accept","Mauritius","MUS",1991,36.69,0.067,0.183,0.34,0.566,"E","P","N","Nat'l",,"WB Mauritius 1995",,"good",
"accept","Mexico","MEX",1950,52.6,0.061,0.143,0.246,0.402,"I","H","G","Nat'l",,"Felix 1982","INEGI","good",
"accept","Mexico","MEX",1957,55.1,0.044,0.113,0.212,0.386,"I","H","G","Nat'l",,"Felix 1982","INEGI","good",
"accept","Mexico","MEX",1963,55.5,0.036,0.092,0.185,0.359,"I","H","G","Nat'l",,"Felix 1982","INEGI","good",
"accept","Mexico","MEX",1968,57.7,0.028,0.079,0.184,0.363,"I","H","G","Nat'l",,"Felix 1982","INEGI","good",
"accept","Mexico","MEX",1975,57.9,0.026,0.08,0.177,0.339,"I","H","G","Nat'l",,"Felix 1982","INEGI","good",
"accept","Mexico","MEX",1977,50,0.029,0.103,0.235,0.455,"I","H","G","Nat'l",,"Aspe  and Beristain 1986","INEGI","good",
"accept","Mexico","MEX",1984,50.58,0.041,0.119,0.242,0.441,"I","P","G","Nat'l",,"Psacharopoulos et al. 1992","INEGI","good",
"accept","Mexico","MEX",1989,54.98,0.032,0.102,0.217,0.407,"I","P","G","Nat'l",,"Psacharopoulos et al. 1992","INEGI","good",
"accept","Mexico","MEX",1992,50.31,0.0413,0.1192,0.2445,0.4466,"E","P",,"Nat'l",,"WDR 1996",,"good",
"cs","Mexico","MEX",1950,60.029,0.018,0.062,0.15,0.363,"I","P",,"Nat'l",,"Navarrete 1960",,"cs",
"cs","Mexico","MEX",1950,52.6,,,,,"I","P",,"Nat'l",,"Weisskoff 1970",,"cs",
"cs","Mexico","MEX",1957,48.336,0.042,0.156,0.394,0.516,"I","H",,"Nat'l",,"Navarrete 1960",,"cs",
"cs","Mexico","MEX",1958,53,,,,,"I","H","N","Nat'l",,"Fields 1989","INEGI","cs","ARH"
"cs","Mexico","MEX",1963,52.7,0.035,0.148,0.289,0.577,"I","H",,"Nat'l",,"Bergsman 1980","MESIGF","cs",
"cs","Mexico","MEX",1963,53,,,,,"I",,,"Nat'l",,"Cromwell 1977","Weisskoff 1970","cs",
"cs","Mexico","MEX",1963,55,,,,,"I","H","N","Nat'l",,"Fields 1989","INEGI","cs",
"cs","Mexico","MEX",1963,57.93,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Mexico","MEX",1963,54.65,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Mexico","MEX",1963,53.9,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Mexico","MEX",1963,53,0.035,0.101,0.212,0.405,"I","P","G","Nat'l",,"Paukert 1973",,"cs","PT"
"cs","Mexico","MEX",1963,54.3,,,,,"I","H",,"Nat'l",,"Weisskoff 1970","MESIGF","cs",
"cs","Mexico","MEX",1968,52.2,0.034,0.157,0.305,0.58,"I","H","G","Nat'l",,"Bergsman 1980","MESIGF","cs",
"cs","Mexico","MEX",1968,61.06,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Mexico","MEX",1968,52.43,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Mexico","MEX",1968,52.6,,,,,"I","H","G","Nat'l",,"van Ginneken 1982",,"cs",
"cs","Mexico","MEX",1968,53.5,,,,,"I","P","N","Nat'l",,"van Ginneken 1982",,"cs",
"cs","Mexico","MEX",1969,58,,,,,"I","H","N","Nat'l",,"Fields 1989","INEGI","cs","ARH"
"cs","Mexico","MEX",1969,58.27,,,,,"I","H",,"Nat'l",,"Jain 1975",,"cs",
"cs","Mexico","MEX",1969,56.7,,,,,"I","H",,"Nat'l",,"Lecaillon et al. 1984",,"cs",
"cs","Mexico","MEX",1970,45.54,0.054,0.23,0.356,0.551,"I","H",,"Nat'l",,"UN 1981",,"cs",
"cs","Mexico","MEX",1975,55.7,0.019,0.081,0.196,0.396,"I","H","N","Nat'l",,"Bergsman 1980","MESIGF","cs",
"cs","Mexico","MEX",1977,49.6,,,,,"I","H","G","Nat'l",,"Bergsman 1980","MESIGF","cs",
"cs","Mexico","MEX",1977,50,,,,,"I","H","N","Nat'l",,"Fields 1989","INEGI","cs",
"cs","Mexico","MEX",1977,47.28,0.035,0.113,0.244,0.457,"I","H","N","Nat'l",,"UN 1985","MESIGF","cs",
"cs","Mexico","MEX",1984,50.71,,,,,"I","P",,"Nat'l",,"Chen et al. 1995",,"cs",
"cs","Mexico","MEX",1989,56.57,,,,,"I","P",,"Nat'l",,"Chen et al. 1995",,"cs",
"cs","Mexico","MEX",1989,46.9,0.044,0.128,0.26,0.464,"I","H","G","Nat'l",,"Farne 1994",,"cs",
"cs","Mexico","MEX",1989,54.98,,,,,"I","P","N","Nat'l",,"Psacharopoulos et a. 1992","MENIGH","cs",
"nn","Mexico","MEX",1963,48.23,,,,,"I","H",,"Rural",,"Jain 1975","Cline 1972","nn",
"nn","Mexico","MEX",1963,52.38,,,,,"I","H",,"Urban",,"Jain 1975","Cline 1972","nn",
"nn","Mexico","MEX",1963,53.15,,,,,"I","H",,"Rural","Agric.","Jain 1975","UN-ECLA 1970","nn",
"nn","Mexico","MEX",1963,51.88,,,,,"I","H",,"Urban","NAG","Jain 1975","UN-ECLA 1970","nn",
"nn","Mexico","MEX",1963,53.09,,,,,"I","H",,"Rural",,"Jain 1975","UN-ECLA 1970","nn",
"nn","Mexico","MEX",1963,47.14,,,,,"I","H",,"Urban",,"Jain 1975","UN-ECLA 1970","nn",
"ps","Mexico","MEX",1956,40.263,,,,,"I","H","N","Nat'l",,"Navarrete 1960",,"ps",
"accept","Moldova","MLD",1992,34.43,0.0685,0.1873,0.3543,0.5848,"I","P",,"Nat'l",,"WDR 1996",,"good",
"accept","Morocco","MAR",1984,39.19,0.0658,0.1765,0.3296,0.5385,"E","P","N","Nat'l",,"Chen et al. 1995",,"good",
"accept","Morocco","MAR",1991,39.2,0.0657,0.1702,0.3199,0.537,"E","P","N","Nat'l",,"Chen et al. 1995","LSMS","good",
"cs","Morocco","MAR",1985,39.7,,,,,"E","H",,"Nat'l",,"WB Morocco 1994","DDLS","cs",
"nn","Morocco","MAR",1985,31.74,,,,,"E","H",,"Rural",,"WB Morocco 1994","DDLS","nn",
"nn","Morocco","MAR",1985,40.53,,,,,"E","H",,"Urban",,"WB Morocco 1994","DDLS","nn",
"nn","Morocco","MAR",1990,31.21,,,,,"E","H",,"Rural",,"WB Morocco 1994","LSMS","nn",
"nn","Morocco","MAR",1990,38.24,,,,,"E","H",,"Urban",,"WB Morocco 1994","LSMS","nn",
"ps","Morocco","MAR",1955,48.6,,,,,"I","P",,"Nat'l",,"Cromwell 1977","Adelman and Morris 1972","ps",
"ps","Morocco","MAR",1965,50,0.071,0.145,0.222,0.346,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"wg","Morocco","MAR",1960,50,,,,,"I","P","G","Nat'l","IR","Bourguignon and Morrisson 1989",,"wg",
"wg","Morocco","MAR",1969,56,,,,,"I","P","G","Nat'l","IR","Bourguignon and Morrisson 1989",,"wg",
"wg","Morocco","MAR",1970,49,,,,,"I","P","G","Nat'l","IR","Bourguignon and Morrisson 1989",,"wg",
"wg","Morocco","MAR",1975,59,,,,,"I","P","G","Nat'l","IR","Bourguignon and Morrisson 1989",,"wg",
"wg","Morocco","MAR",1980,52.4,,,,,"I","P",,"Nat'l",,"Bourguignon and Morrisson 1989",,"wg",
"accept","Nepal","NPL",1984,30.06,0.0911,0.22,0.3868,0.605,"I","P","N","Nat'l",,"Chen et al. 1995",,"good",
